artifactName,artifactName1,country,material,material1,library,library1,size,size1,description,description1,moreUrl,imageUrl
Buddhapredigt - Suddhodana vor Buddha,佛的传教士，佛前的苏德霍达那,中国,Farben auf Lehm,粘土上的颜色,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 103,5 x 103 x 5,5 cm,Gewicht: ca. 111 kg",高x宽x深：103.5 x 103 x 5.5厘米，重量：约111公斤,,,https://id.smb.museum/object/1714988/buddhapredigt---suddhodana-vor-buddha,https://recherche.smb.museum/images/40/4034005_1200x1200.jpg
Die erste Meditation der Königin Vaidehi (Sukhavativyuha Sutra),毗湿皇后的第一次禅修（《住持经》）,中国,Farben auf Lehm,粘土上的颜色,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 29,3 x 36 x 3,7 cm (Gips auf Holz),Tiefe: 11,4 cm (Objekt mit Halterung),Gewicht: ca. 110 kg",高x宽x深：29.3 x 36 x 3.7厘米（木板上的灰泥），深：11.4厘米（带支架的物体），重量：约110公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/848624/die-erste-meditation-der-konigin-vaidehi-sukhavativyuha-sutra,https://recherche.smb.museum/images/66/6684954_1200x1200.jpg
chiba,千叶,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/255966/chiba,https://recherche.smb.museum/images/34/3468103_1200x1200.jpg
Mörser mit Pistill,Pistilla砂浆,中国,Eisen; Holz,要求；木材,Ethnologisches Museum,民族博物馆,"Höhe: a) 8,2 cm,Durchmesser: a) 11,2 cm,Allgemein: b)   cm",高度：a）8.2厘米，直径：a）11.2厘米，一般：b）厘米,"Mörser aus Eisen mit Pistill.
Pistill ist mit Holzgriff.",铁浆配开心果。,https://id.smb.museum/object/136428/morser-mit-pistill,https://recherche.smb.museum/images/86/865398_1200x1200.jpg
Mutterschnur zum Ahnenkult,母亲的祖先崇拜路线,中国,Seide; Papier,丝纸张,Ethnologisches Museum,民族博物馆,Länge: 221 cm,长度：221厘米,,,https://id.smb.museum/object/2317765/mutterschnur-zum-ahnenkult,https://recherche.smb.museum/images/53/5395624_1200x1200.jpg
Fragment (Sanskrit Handschrift),片段（梵文笔迹）,中国,Farben auf Talipat-Palme,Talipat手掌上的颜色,Museum für Asiatische Kunst,亚洲艺术博物馆,"Objektmaß: 4,7 x 35,5 cm",物体尺寸：4.7 x 35.5厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1714640/fragment-sanskrit-handschrift,https://recherche.smb.museum/images/44/4403048_1200x1200.jpg
Japanische Quitte,日本木瓜,中国,"Fächerblatt, Tusche und Farben auf Mika-Papier",米卡纸上的扇形纸、墨水和颜色,Museum für Asiatische Kunst,亚洲艺术博物馆,"Bildmaß: 16,9 x 52,1 cm","图片尺寸：16,9 x 52.1厘米",,,https://id.smb.museum/object/975439/japanische-quitte,https://recherche.smb.museum/images/12/1214940_1200x1200.jpg
Der Siebte Höllenkönig,第七任阎王,中国,"Hängerolle, Tusche und Farbe auf Seide",丝绸上的挂卷、墨水和油漆,Museum für Asiatische Kunst,亚洲艺术博物馆,"Blattmaß: 85,0 x 50,5 cm",床单尺寸：85.0 x 50.5厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1368138/der-siebte-hollenkonig,https://recherche.smb.museum/images/51/5184908_1200x1200.jpg
suona (so na) ?,你打球吗？,中国,"Holz, Metall",木材、金属,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/1724016/suona-so-na,https://recherche.smb.museum/images/38/3816238_1200x1200.jpg
Kopffragment,头部碎片,中国,"Lehm, gebrannt, mit Resten von Malschicht",烧制粘土，含油漆层残留物,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 10 x 8,5 x 7 cm,Höhe x Breite x Tiefe: 20,4 x 8,9 x 7,3 cm (mit Sockel),Sockel: 9 x 5,9 x 5,8 cm,Gewicht: 0,45 kg",高x宽x深：10 x 8.5 x 7 cm，高x宽×深：20.4 x 8.9 x 7.3 cm（带底座），底座：9 x 5.9 x 5.8 cm，重量：0.45 kg,Dieses Fragment eines Kopfes beeindruckt durch seine ausgewogenen und symmetrischen Proportionen.,这个头部的碎片以其平衡对称的比例给人留下了深刻的印象。,https://id.smb.museum/object/1840629/kopffragment,https://recherche.smb.museum/images/58/5832657_1200x1200.jpg
Fliese mit tanzendem Kind,瓷砖与跳舞的孩子,中国,Farben auf Holz,木材上的颜色,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 6,3 x 6,1 x 1,5 cm,Gewicht: 21 g",高x宽x深：6.3 x 6.1 x 1.5厘米，重量：21克,[SM8HF],[SM8HF],https://id.smb.museum/object/973162/fliese-mit-tanzendem-kind,https://recherche.smb.museum/images/58/5842351_1200x1200.jpg
luo,罗,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/256305/luo,https://recherche.smb.museum/images/34/3467360_1200x1200.jpg
Landschaft mit Boot und Pavillon,船亭景观,中国,"Hängerolle, Tusche und Farbe auf Papier",纸上的挂卷、墨水和油漆,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite: 129,8 x 65,2 cm","高x宽：129,8 x 65.2厘米",[SM8HF],[SM8HF],https://id.smb.museum/object/2260821/landschaft-mit-boot-und-pavillon,https://recherche.smb.museum/images/51/5189435_1200x1200.jpg
Landschaft am Li-Fluss,漓江景观,中国,"Hängerolle, Tusche und Farben auf Papier",纸上的挂卷、墨水和油漆,Museum für Asiatische Kunst,亚洲艺术博物馆,"Bildmaß: 117,1 x 69,3 cm","图片尺寸：117,1 x 69,3厘米",[SM8HF],[SM8HF],https://id.smb.museum/object/1904799/landschaft-am-li-fluss,https://recherche.smb.museum/images/45/4522040_1200x1200.jpg
selbständige Aufschlagröhre,独立冲击管,中国,,,Ethnologisches Museum,民族博物馆,,,,,https://id.smb.museum/object/2012721/selbstandige-aufschlagrohre,https://recherche.smb.museum/images/51/5158197_1200x1200.jpg
Apsaras (Himmlischer Wesen),飞天,中国,"Fragment, Farbe auf Seide",碎片，丝绸上的颜色,Museum für Asiatische Kunst,亚洲艺术博物馆,"Länge x Breite: max.: 35 x 18,6 cm , Darstellung hochrechteckig,Höhe x Breite x Stärke: Plattenmaß: 42 x 25 x 1 cm","长x宽：最大：35 x 18,6 cm，矩形表示，高x宽x厚：板尺寸：42 x 25 x 1 cm",[SM8HF],[SM8HF],https://id.smb.museum/object/973168/apsaras-himmlischer-wesen,https://recherche.smb.museum/images/11/1155200_1200x1200.jpg
Ritterkopf,骑士之首,中国,Lehm,母牛,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 10,6 x 6 x 6,7 cm,Höhe x Breite x Tiefe: 20 x 6 x 6,7 cm (mit Sockel),Gewicht: 0,5 kg (mit Sockel),Sockel: 9 x 5,9 x 5,9 cm",高x宽x深：10.6 x 6.7厘米，高x宽×深：20 x 6 x 6.7厘米（带底座），重量：0.5公斤（带底座的），底座：9 x 5.9 x 5.9厘米,"Dieser Kopf eines Ritters lächelt sanft. Seinen Mund ziert ein Oberlippenbart, der Helm lässt seine ursprüngliche Formgebung vage erahnen.",这个骑士的头微微一笑。他的嘴上留着上唇胡子，头盔隐约暗示着它的原始形状。,https://id.smb.museum/object/1840651/ritterkopf,https://recherche.smb.museum/images/58/5833795_1200x1200.jpg
erhu,二胡,中国,"Bambus, Holz, Metall, Pferdehaar, Schlangenhaut, Textil",竹子、木材、金属、马毛、蛇皮、纺织品,Ethnologisches Museum,民族博物馆,"Objektmaß: 82 x 10,5 x 14,5 cm","物体尺寸：82 x 10,5 x 14,5厘米",[SM8HF],[SM8HF],https://id.smb.museum/object/256341/erhu,https://recherche.smb.museum/images/34/3468520_1200x1200.jpg
In den Bergen Heilkräuter sammeln,上山采药,中国,"Hängerolle, Tusche und Farben auf Papier",纸上的挂卷、墨水和油漆,Museum für Asiatische Kunst,亚洲艺术博物馆,"Bildmaß: 70,8 x 32,8 cm,Höhe x Breite: 162 x 46 cm (Montierung),Höhe x Breite: 162 x 55,2 cm (Montierung mit Knäufen),Gewicht: < 2 kg",图像尺寸：70.8 x 32.8厘米，高x宽：162 x 46厘米（支架），高x宽度：162 x 55.2厘米（带旋钮的支架），重量：<2公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/975174/in-den-bergen-heilkrauter-sammeln,https://recherche.smb.museum/images/51/5195983_1200x1200.jpg
gu,gu,中国,"Holz, Haut (bemalt), Metall",金属皮木,Ethnologisches Museum,民族博物馆,"Objektmaß: 10,5 x 31 x 31 cm,Gewicht: 1,27 kg,Höhe x Durchmesser: 10,5 x 31 cm","物体尺寸：10,5 x 31 x 31 cm，重量：1.27 kg，高度x直径：10,5x 31 cm",[SM8HF],[SM8HF],https://id.smb.museum/object/256688/gu,https://recherche.smb.museum/images/34/3465890_1200x1200.jpg
Für den Freund die Zither spielen,为弹古筝的朋友,中国,"Albumblatt als Hängerolle montiert, Tusche und Farben auf Seide",挂卷式相簿，水墨设色于丝绸上,Museum für Asiatische Kunst,亚洲艺术博物馆,"Bildmaß: 31,4 x 61 cm,Höhe x Breite: 125,5 x 64,3 cm (Montierung),Höhe x Breite: 125,5 x 69,9 cm (Montierung mit Knäufen),Gewicht: < 2 kg",图像尺寸：31.4 x 61厘米，高x宽：125.5 x 64.3厘米（支架），高x宽度：125.5×69.9厘米（带旋钮的支架），重量：<2公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/975327/fur-den-freund-die-zither-spielen,https://recherche.smb.museum/images/51/5166822_1200x1200.jpg
Der Gott des Langen Lebens mit Esel,长寿之神与驴子,中国,"Papier mit Japanpapier kaschiert, Tusche, Farben",用日本纸、墨水、颜色层压的纸,Ethnologisches Museum,民族博物馆,"Blattmaß: 25,3 x 14,3 cm,Passepartout: 38 x 29 cm","床单尺寸：25,3 x 14,3厘米，路路通：38 x 29厘米",,,https://id.smb.museum/object/146970/der-gott-des-langen-lebens-mit-esel,https://recherche.smb.museum/images/64/6463598_1200x1200.jpg
Der Ebergeist Zhu Bajie,猪八戒,中国,"Papier mit Japanpapier kaschiert, Tusche, Farben",用日本纸、墨水、颜色层压的纸,Ethnologisches Museum,民族博物馆,"Blattmaß: 25,3 x 14,3 cm,Passepartout: 38 x 29 cm","床单尺寸：25,3 x 14,3厘米，路路通：38 x 29厘米",,,https://id.smb.museum/object/147001/der-ebergeist-zhu-bajie,https://recherche.smb.museum/images/64/6463640_1200x1200.jpg
"Porträt des Hamutukô, Der Kaiserliche Leibwächter 3. Klasse",哈穆图科肖像，帝国保镖3。班,中国,"Hängerolle, Tusche und Farbe auf Seide",丝绸上的挂卷、墨水和油漆,Museum für Asiatische Kunst,亚洲艺术博物馆,"Bildmaß: 154,5 x 96 cm,Höhe x Breite: 32 x 95,5 cm (Aufschrift)",图片尺寸：154.5 x 96厘米，高x宽：32 x 95.5厘米（铭文）,[SM8HF],[SM8HF],https://id.smb.museum/object/742038/portrat-des-hamutuko-der-kaiserliche-leibwachter-3--klasse,https://recherche.smb.museum/images/60/600081_1200x1200.jpg
Kupferdruckplatte,铜版印刷板,中国,Kupfer,铜,Ethnologisches Museum,民族博物馆,"Höhe: 59 cm,Breite: 92,5 cm,Gewicht: 14 kg",高：59厘米，宽：92.5厘米，重量：14公斤,"Fünfte Kupferdruckplatte aus der Serie ""Gurkha Kampagne"" 1792: Die Eroberung von Xiebulu (攻克协布噜 Capture of Xiebulu)",1792年廓尔喀战役系列的第五块铜板：征服谢布鲁,https://id.smb.museum/object/807977/kupferdruckplatte,https://recherche.smb.museum/images/58/5830879_1200x1200.jpg
Schwert mit Scheide und Lederriemen,剑鞘皮带剑,中国,"Eisen, Holz, Leder",铁、木、皮革,Ethnologisches Museum,民族博物馆,"Länge: 70 cm (Scheide),Länge: 77,5 cm (Schwert)",长度：70厘米（鞘），长度：77.5厘米（剑）,"Schmale lange Eisenklinge mit rundlicher Spitze. Schwertgriff aus Holz mit lackiertem und genähtem Lederüberzug. Schmiedespuren an der Klinge deutlich sichtbar.
Die Scheide aus Holz ist mit dünnem Leder überzogen, schwarz lackiert und dreifach mit Lederschnurzwingen versehen, von denen die beiden oberen 2 Lederösen festhalten, durch die rohe Lederbänder gezogen sind. Durch die Lederbänder ist ein schmaler Ledergürtel gezogen, der ein simples Pressmuster in Strichform aufweist. der Gürtel ist geschlossen mit einer rohen Lederschlinge.
Publ.in: Mueller, Herbert: Beiträge zur Ethnographie der Lolo. Katalog der Sammlung Weiss im Kgl. Museum für Völkerkunde zu Berlin. In: Baessler-Archiv, Band III, 1913, S. 59 f (Fig. 11).",窄而长的铁刀片，尖端呈圆形。木制剑柄，有涂漆和缝合的皮革封面。叶片上的锻造痕迹清晰可见。,https://id.smb.museum/object/825199/schwert-mit-scheide-und-lederriemen,https://recherche.smb.museum/images/78/786875_1200x1200.jpg
Hosenstickerei,长裤刺绣,中国,"Baumwollgemisch (Grundgewebe: Rohbaumwolle und mercerisierte Baumwolle), Stickfaden: Mohair (Ziegenhaar)",棉混纺（底布：原棉和丝光棉），刺绣线：马海毛（山羊毛）,Ethnologisches Museum,民族博物馆,Höhe x Breite: 31 x 31 cm (zusammengenäht),高x宽：31 x 31厘米（缝合在一起）,"Teile einer Frauenhose, gestickt.",女式裤子的一部分，刺绣的。,https://id.smb.museum/object/188206/hosenstickerei,https://recherche.smb.museum/images/15/1535996_1200x1200.jpg
Die Predigt des Sakyamuni,释迦牟尼的宝训,中国,"Farben auf Textil (Pigment, Seide)",纺织品上的颜色（颜料、丝绸）,Ethnologisches Museum,民族博物馆,"Blattmaß: 522,5 x 963,0 cm,Blattmaß: 543,0 x 1015,0 cm,Kistenmaß: mit Rollen: 78 x 600 x 55 cm (Lagermaß),Gewicht: geschätzt ca. 80 kg",纸张尺寸：522.5 x 963.0厘米，纸张尺寸：543.0 x 1015.0厘米，盒子尺寸：带滚筒：78 x 600 x 55厘米（存储尺寸），重量：估计约80公斤,"Buddha predigend, umgeben von Vertretern aller Existenzformen: Götter, Halbgötter, Dämonen, Menschen . Ikonografischer Typ: (Paradiesszenen/Sukhavati). Erstpubl. und ausführliche Beschreibung durch Klose-Wang, Petra /Xing Jun,: "" Die Predigt des S....- eine Bildanalyse. In: Müller, C. (Hg.): Wege der Götter und Menschen, Berlin (SMPK), 1989, S. 20 ff (mit Gesamt und Detailaufnahmen).

Begutachtung FWK Müller vom 21. Juni 1902 (Vorgang E 758/1902):
Buddha predigend, umgeben von Bodhisattvas, darunter Manjusri und Samantabhadra,; Götter, Engel, Halbgötter, Dämonen, Apostel usw.
Datum noch nicht gefunden, Bild dürfte jedoch 200 Jahre alt sein. Stammt aus dem Jägertempel, genauer Wan-schan-dien (= Halle der Zehntausend d.h. unzähliger Tugenden).
An einigen Stellen von europäischer Hand übermalt (u.a. Glanzlichter aufgesetzt). Jägertempel in der Kaiserstadt jedoch seit der Jesuitenperiode für Europäer unzugänglich.
Also eventuell von Panzi (1773 im Palast tätig), oder einem anderen Hofjesuiten in der Zeit Kaisers Ch´ien lung (1736-1796) übermalt. Vielleicht kommt Pater Altiret in Betracht, der im Jahr 1743 und 1754 am Hof malte.
Müller betont gute Qualität und außergewöhnliche Dimension. Bereicherung Ersten Ranges für das Museum. [SM8HF]",传佛，周围环绕着各种存在形式的代表：神、半神、妖、人。图像类型：（天堂场景/Sukhavati）。首次公开。以及Klose Wang，Petra/Xing Jun的详细描述：“S的布道……——图像分析。In：Müller，C.（ed.）：Wege der Götter und Menschen，Berlin（SMPK），1989，S.20 ff（包括总镜头和细节镜头）。,https://id.smb.museum/object/832728/die-predigt-des-sakyamuni,https://recherche.smb.museum/images/17/1736501_1200x1200.jpg
Massnahmen nach der Flutkatastrophe in Wumen 吳門荒政,乌门洪灾后的措施,中国,"Album, Tusche und Farben auf Papier",相簿、纸张上的墨水和颜色,Museum für Asiatische Kunst,亚洲艺术博物馆,"Bildmaß: 28,3 x 39,2 cm (=Blattmaß/Doppelblatt; je),Höhe x Breite x Tiefe: 28,3 x 19,6 cm (Album),Höhe x Breite x Tiefe: 28,9 x 20,2 x 5,3 cm (Kartonumschlag),Gewicht: < 2 kg",图片尺寸：28.3 x 39.2厘米（=纸张尺寸/双张；每张），高x宽x深：28.3×19.6厘米（相册），高×宽x深28.9×20.2×5.3厘米（纸箱盖），重量：<2公斤,[SM8HF],[SM8HF],https://id.smb.museum/object/2266683/massnahmen-nach-der-flutkatastrophe-in-wumen-%E5%90%B3%E9%96%80%E8%8D%92%E6%94%BF,https://recherche.smb.museum/images/56/5686828_1200x1200.jpg
Porträt des Looge (chin. Laoge),掠夺者肖像（中国老歌）,中国,"Fragment einer Querrolle, Tusche und Farbe auf Papier",一个十字辊的碎片，纸上的墨水和油漆,Museum für Asiatische Kunst,亚洲艺术博物馆,Objektmaß: 30 cm,物体尺寸：30厘米,,,https://id.smb.museum/object/1908996/portrat-des-looge-chin--laoge,https://recherche.smb.museum/images/45/4543116_1200x1200.jpg
Gelehrter mit Wanderstab unter Kiefer,松下持杖书生,中国,"Fächerblatt, Tusche und Farben auf goldgeflecktem Papier",扇形纸、油墨和金色斑点纸上的颜色,Museum für Asiatische Kunst,亚洲艺术博物馆,"Bildmaß: 18,2 x 52,2 cm,Blattmaß: 31,0 x 59,8 cm",图片尺寸：18.2 x 52.2厘米，纸张尺寸：31.0 x 59.8厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/2026149/gelehrter-mit-wanderstab-unter-kiefer,https://recherche.smb.museum/images/49/4986034_1200x1200.jpg
Tempelfahne für Kara Totok (ein uigurischer Würdenträger) /Memorial banner for Kara Totok,维吾尔政要卡拉·托托克庙旗,中国,Malerei auf Baumwolle,棉花上的绘画,Museum für Asiatische Kunst,亚洲艺术博物馆,"Länge x Breite x Tiefe: max.: 145 x 51,5 x 0,5 cm,Höhe x Breite x Stärke: 155 x 61,5 x 1,3 cm (Plattenmaß),Gewicht: < 2 kg",长x宽x深：最大：145 x 51.5 x 0.5 cm，高x宽x厚：155 x 61.5 x 1.3 cm（板尺寸），重量：<2 kg,[SM8HF],[SM8HF],https://id.smb.museum/object/782755/tempelfahne-fur-kara-totok-ein-uigurischer-wurdentrager--memorial-banner-for,https://recherche.smb.museum/images/58/5877939_1200x1200.jpg
Müßig in der Hütte am Bergbach,在山间小溪边的小屋里无所事事,中国,"Hängerolle, Tusche und Farben auf Papier",纸上的挂卷、墨水和油漆,Museum für Asiatische Kunst,亚洲艺术博物馆,Bildmaß: 179 x 75 cm,图片尺寸：179 x 75厘米,[SM8HF],[SM8HF],https://id.smb.museum/object/1920641/mussig-in-der-hutte-am-bergbach,https://recherche.smb.museum/images/46/4604847_1200x1200.jpg
Guanyin 觀音,Guanyin观音,中国,Bronze,青铜,Ethnologisches Museum,民族博物馆,"Objektmaß: 31,5 x 18,3 x 16 cm",物体尺寸：31.5 x 18.3 x 16厘米,,,https://id.smb.museum/object/1025038/guanyin-%E8%A7%80%E9%9F%B3,https://recherche.smb.museum/images/23/2357832_1200x1200.jpg
Hosenbeinteil,裤腿部分,中国,"Baumwolle, Seidengarn",棉、丝线,Ethnologisches Museum,民族博物馆,"Höhe x Breite: 21 x 56,5 cm",高x宽：21 x 56.5厘米,"Hosenbeine, ein Paar.",裤腿，一双。,https://id.smb.museum/object/188176/hosenbeinteil,https://recherche.smb.museum/images/13/1384001_1200x1200.jpg
Hofschuhe einer Dienerin (?),仆人的宫廷鞋（？）,中国,"Seide, Baumwolle",丝绸、棉花,Ethnologisches Museum,民族博物馆,"Höhe: 15,5 cm,Länge: 22 cm",高：15.5厘米，长：22厘米,1 Paar Mandschu-Schuhe.,一双满族鞋。,https://id.smb.museum/object/147714/hofschuhe-einer-dienerin,https://recherche.smb.museum/images/17/1701567_1200x1200.jpg
Phakpa Lodoe Gyaltsen (1235-1280),Pakpa Lodoe Gyaltsen（1235-1280）,中国,Malerei auf Seide,丝绸上的绘画,Ethnologisches Museum,民族博物馆,Höhe x Breite: 51 x 65 cm,高x宽：51 x 65厘米,"lamaistische Miniatur (insgesamt 15 Miniaturen mit Beischriften)
- dazu gehören noch ein zweiteiliger Einbanddeckel mit drei Titelschriften in chinesisch, tibetisch und manjurisch sowie ein Einbanddeckel ohne Beschriftung.",喇嘛教微缩模型（共15个带说明的微缩模型）,https://id.smb.museum/object/754397/phakpa-lodoe-gyaltsen-1235-1280,https://recherche.smb.museum/images/77/777813_1200x1200.jpg
Klöpfel,剪贴板,中国,Holz,木材,Ethnologisches Museum,民族博物馆,"Höhe x Durchmesser: 24,5 x 13,5 cm",高x直径：24.5 x 13.5厘米,"Klöpfel (Schlegel). <zu IB 2092 -""Modell eines Bogens zum Lockern der Wolle"" * fehlt !>",Klöpfel（Schlegel）<至IB 2092-“松开羊毛的蝴蝶结模型”*缺失！>,https://id.smb.museum/object/193418/klopfel,https://recherche.smb.museum/images/49/495441_1200x1200.jpg
Die Schlacht von Xiaobantian (Schlachtenbild),小板田之战（战斗图）,中国,"Roter, braun-gelber, olivfarbener und blauer Schnitzlack, Holz und vergoldete Bronze mit Elfenbein und Stein",红色、棕黄色、橄榄色和蓝色雕刻清漆，木材和镀金青铜，象牙和石头,Museum für Asiatische Kunst,亚洲艺术博物馆,Höhe x Breite: 72 x 108 cm,高x宽：72 x 108厘米,,,https://id.smb.museum/object/2424281/die-schlacht-von-xiaobantian-schlachtenbild,https://recherche.smb.museum/images/56/5661302_1200x1200.jpg
Bhairava,拉瓦,中国,"Bronze, vergoldet und gefasst",青铜、镀金和套装,Ethnologisches Museum,民族博物馆,"Objektmaß: 42,5 x 27 x 19 cm (lt. Karteikarte),Objektmaß: 42 x 29 x 19,5 cm",物体尺寸：42.5 x 27 x 19厘米（根据索引卡），物体尺寸：42 x 29 x 19.5厘米,"Die dreigesichtige, achtarmige Ushnishavijaya ist die Verkörperung einer wichtigen buddhistischen Schutzformel, deren Anrufung das Leben verlängern und die Wiedergeburt in Buddha Amitabhas „Reinem Land des Westens“ bewirken soll. Schutzformeln bestehen aus heiligen Silben, die die Essenz der buddhistischen Lehre zusammenfassen. Die Bronze der Ushnishavijaya ist zudem mit Reliquien bestückt, die vermutlich aus heiligen Texten, Heilkräutern, Votivtafeln und Überresten eines verstorbenen Lehrmeisters bestehen und in einer Weihezeremonie in die Figur gefüllt wurden. Nur durch diese Beigaben ist sie rituell aufgeladen und kann Segen spenden. Bis auf die Vase mit dem Unsterblichkeitsnektar und dem Doppelvajra vor ihrer Brust hat die Figur alle Attribute, die sie ehemals in den Händen hielt, verloren. Deren Verbleib ist unklar.",三面八臂的乌什尼沙维迦是一种重要的佛教护法的化身，在佛的“西方净土”中，这种护法旨在延长生命并带来重生。护法由神圣的音节组成，总结了佛教教义的精髓。乌什尼沙维迦的青铜上也装饰着遗迹，可能由神圣的文本、草药、还愿牌和已故教师的遗体组成，并在祝圣仪式中填充在雕像中。只有通过这些添加，它才能在仪式上充电并能够给予祝福。除了胸前装有永生花蜜和双金刚的花瓶外，雕像已经失去了所有的她曾经拥有的特质。,https://id.smb.museum/object/2451581/bhairava,https://recherche.smb.museum/images/57/5733110_1200x1200.jpg
Teller in Form einer Begonie,秋海棠形状的盘子,中国,"Holzgrund, rot, gelb und grün lackiert und geschnitzt",木制背景，红、黄、绿涂漆和雕刻,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite x Tiefe: 2 x 18,1 x 8 cm,Breite: 8 cm (Fußabstand)",高x宽x深：2 x 18.1 x 8厘米，宽：8厘米（脚距）,,,https://id.smb.museum/object/1911249/teller-in-form-einer-begonie,https://recherche.smb.museum/images/56/5689918_1200x1200.jpg
Derwischrock,Derwischrock,中国,"Wolle, Stickerei, Knüpfarbeit",羊毛、刺绣、打结,Ethnologisches Museum,民族博物馆,"Länge x Breite: gesamt 137 x 150 cm (von Arm zu Arm),Gewicht: ca. 0,8 kg",长x宽：总计137 x 150厘米（从手臂到手臂），重量：约。,"keine Karteikarte gefunden (I.Sch. 6, 06)",未找到索引卡（I.Sch.6，06）,https://id.smb.museum/object/188431/derwischrock,https://recherche.smb.museum/images/31/3146529_1200x1200.jpg
Die Bootsfahrt zur Roten Klippe,赤壁之舟,中国,"Albumblatt, Tusche und Farbe auf Papier",相簿纸、纸上油墨和油漆,Museum für Asiatische Kunst,亚洲艺术博物馆,"Bildmaß: 26 x 29,1 cm,Blattmaß: 30,6 x 42,9 cm","图片尺寸：26 x 29,1厘米，纸张尺寸：30,6 x 42,9厘米",[SM8HF],[SM8HF],https://id.smb.museum/object/2026141/die-bootsfahrt-zur-roten-klippe,https://recherche.smb.museum/images/49/4986038_1200x1200.jpg
Mueller China,穆勒中国,中国,,,Ethnologisches Museum,民族博物馆,,,"Die Beschriftung der Walzen ist: Müller China. Die Walzen 52, 28, 26, 56, 30, 76, 72 wurden als Nr. 16 - 23 in die Dem. Coll. übernommen. Umfangreiche Korrespondenz liegt vor. Am 8.Juni 1919 fand ein gemeinsamer Vortrag von Mueller und Hornbostel statt (vgl. Sachs 1918). Transkriptionen einiger Stücke in Hornbostel 1919, 1921 (?), Lachmann 1929a, c und Reinhard 1939, 1956c. Zahlreiche Fotos vorhanden (vor allem Musikinstrumente) und in vielen Publikationen zur chinesischen Musik veröffentlicht. Weitere Ethnographica und Photos im EM. W. 30 und 72 sind veröffentlicht auf der LP FE 4175.Inhalt: traditionelle Musik, Volksmusik, zeremonielle u. buddhistische Musik, Theatermusik",卷轴上的铭文是：米勒中国。卷筒52、28、26、56、30、76、72被放置为Dem中的编号16h23。Coll。和已收到大量信件。1919年6月8日，穆勒和霍恩波斯特尔举行了一次联合讲座（参见Sachs 1918）。Hornbostel 1919、1921（？）、Lachmann 1929a、c和Reinhard 1939、1956c中一些作品的转录本。有许多照片（主要是乐器），并发表在许多关于中国音乐的出版物上。EM.W.30和72中的更多民族志和照片发表在LP FE 4175上。内容：传统音乐、民间音乐、仪式和佛教音乐、戏剧音乐,https://id.smb.museum/object/750227/mueller-china,https://recherche.smb.museum/images/67/6722921_1200x1200.jpg
Landscripts: Zehntausend Bäume,题诗：万棵树,中国,"Serie von fünf Blättern, gerahmt, Tusche auf Papier",五张纸的系列，带边框，纸上有墨水,Museum für Asiatische Kunst,亚洲艺术博物馆,"Höhe x Breite: 121 x 172,2 cm (je)","高x宽：121 x 172,2厘米（每个）",[SM8HF],[SM8HF],https://id.smb.museum/object/1904848/landscripts-zehntausend-baume,https://recherche.smb.museum/images/46/4604532_1200x1200.jpg
